FrameWork,TPS,Threadpool,Avg Response Time(ms),P95,P99,Throughput(rps),Error Rate,CPU Usage,Memory,Latency(ms),Request Timeouts
boot,12000.0,190.0,4439.863962928152,6951.605138227607,9414.463973287611,1636.7544860763946,0.0004883348173478989,0.20913459722684644,637.4533517807706,4574.346859026122,0.002871151040202825
boot,12000.0,200.0,2055.1370336541513,3587.229269500717,5420.16803703163,2467.3010445061504,0.0,0.27220950921469633,671.5019802143629,2051.521884742052,0.00044672963138456197
boot,12000.0,210.0,2299.142108541207,3300.3437985349556,4731.72245898988,1653.097163087329,0.0,0.297911400205385,622.1993169837104,2188.709385209144,0.00042633654798731013
boot,12000.0,230.0,4180.85278177687,9374.427104390625,11735.619549654995,1761.0062833412237,1.482823518607359,0.24640904589958976,624.9911675439956,3777.4457372417537,0.09943700122893874
boot,12000.0,240.0,4243.425646069751,7206.565409415991,9176.072647849327,1320.5950998550752,0.07789081382667033,0.2119631213080189,641.2596081942938,4493.117728932449,0.014431355716199449
boot,12000.0,250.0,4390.145600074136,7412.606490623132,9721.481954545692,1235.3257007026934,0.00047069585085104574,0.2210871163518957,641.8354012783022,4774.717573997235,0.0011848202117223654
boot,12000.0,260.0,2890.823637560114,4754.684452095494,8282.249208377107,2364.7463491205604,0.007267839295510663,0.2969125377258383,615.3570099124462,3030.979776543825,0.031018139122924077
boot,12000.0,270.0,5106.666627298222,6574.180716195868,9889.535410546567,1330.5470484942916,0.0007544074859465754,0.22260091832690007,634.4696720260946,5233.814947834722,0.007510365747259265
boot,12000.0,280.0,5875.00368270249,7666.505338112209,9857.193757550685,1069.1413577020803,0.00022390169642471549,0.18222899180184157,636.9028761716909,6143.259270633132,0.0015602836584740266
boot,12000.0,290.0,5858.976322935713,8010.643513505108,9790.960607742474,1057.1911725583723,1.862297247749443e-05,0.18766312122486203,628.9208740042816,6044.046725988037,0.0004356872216101345
boot,12000.0,300.0,5108.93743398603,7184.096405769333,10322.750298250956,1150.73483284959,1.919953033617005e-05,0.1694988916150964,668.8825727661919,5403.307759153375,0.0004243788471696645
boot,12000.0,310.0,5372.252138881583,7455.038481754568,9656.138702926668,1251.292637082978,0.05091113910114311,0.16813552499534543,629.54172721726,5518.768135571986,0.00042682850337509543
boot,12000.0,320.0,2479.770596720488,6367.83360461335,9898.4136155405,2602.0407935189514,1.0599248775626149,0.24102628081142985,625.7038071947843,2574.707830445505,0.0783254349508419
boot,12000.0,330.0,2580.895168338629,6613.584751928514,10332.187740810974,2546.3344351602577,0.14281448151286308,0.22948973400250774,633.4117593833844,2526.344764240088,0.08133578678120057
boot,12000.0,340.0,2095.5470199016154,3983.9578364998197,7407.002142355762,2251.3143630213494,0.03565884600542662,0.5638618739201973,648.1806600568096,2192.205475615915,0.1503146310245996
boot,12000.0,350.0,4014.4193475911984,6965.973132747044,11042.081854600794,1413.035149686459,0.0003070340685394255,0.15098067893077632,629.4988605768997,3782.2693887171313,0.00719373402842653
boot,12000.0,360.0,3660.044442998243,6973.788512944803,10804.368660749253,1189.6068186586501,1.4690508754969698e-05,0.1289093802456983,642.5029719602168,3608.298636557909,0.0
boot,12000.0,370.0,3302.775159496394,6904.273400020464,9646.256668108132,1204.4657226238455,1.46275387881444e-05,0.13777657568089408,639.2192481680407,3293.069365043504,0.0
boot,12000.0,380.0,2298.462063857879,4873.443997117098,8225.61142415242,2341.59158129708,1.5059366048711322e-05,0.2002734716775439,628.8298437840848,2315.8337266044186,0.0
boot,12000.0,390.0,2654.4647206871646,5712.705497874139,8944.36588368675,1465.5640065302266,1.4546620971782125e-05,0.12696705811577905,675.8654436287228,2693.127004053568,0.0
boot,12000.0,400.0,3574.020942790512,6164.530720983022,8865.05432105124,1514.7722369741366,0.003740559456533146,0.1223129680952801,650.4030012519679,3530.017196323562,0.0010320172575419724
boot,12000.0,410.0,3394.15315284874,8372.695525450781,11992.988831424833,1775.3755416519193,1.1458096392896826,0.20103243889807804,647.5649558333839,3456.4368759621966,0.07697858747450029
boot,12000.0,420.0,1921.69442657817,3665.510823731103,5955.302820643685,2191.1360669533988,0.057862041786079677,0.5946546476172339,662.875340646161,1815.2470728581586,0.21219485734409932
boot,12000.0,430.0,1630.120037867591,3208.9334072615943,6461.709987691201,2261.0356583651183,0.033622484452830434,0.5855758820414962,607.3271301073391,1720.1160981566252,0.188333914886919
boot,12000.0,440.0,2197.743534764195,4698.8152679137265,8219.994164115358,2433.684452144068,0.0,0.21805713652385036,621.6647381355547,2294.3527055253435,0.0003168778889823013
boot,12000.0,450.0,4625.474326185852,5949.667909117163,9766.110378975276,1736.5024705003664,0.0,0.13508582766043215,668.0133777075981,4629.68814250024,0.00031167761880865374
boot,12000.0,460.0,4935.336380962554,7185.517076845138,10135.4288331812,1296.4879258811313,0.0,0.11642239974502479,689.2650235926262,5216.235869014284,0.00029934407748582234
boot,12000.0,470.0,4349.498021670745,8017.355281013096,11474.86031490584,1098.9098413359527,0.0,0.11235585148926398,631.3722549005139,4355.863643172635,0.0003052829326787359
boot,12000.0,480.0,4425.635745519607,7878.838653901177,11561.016703569261,996.9146482991396,0.0,0.11318220265875627,601.7539039413027,4676.297993869848,0.0002983409859630147
boot,12000.0,490.0,4194.480140191963,7451.5075331844,11652.77782417168,1439.5424666330591,9.827162765071078e-05,0.1292423876263967,627.4910058113845,4123.1570889941295,0.004976366911142069
boot,12000.0,500.0,1968.9789946206208,3896.8121856169646,7382.37834569031,2799.3030844375307,0.011449748094121262,0.3155788000093319,561.5255233064172,1844.3407196664505,0.057973844119515186
boot,13000.0,50.0,5989.523137773661,14394.149333263804,20103.530289280407,1154.9586928233155,0.2682119627586933,0.3344282855895441,624.998828547716,6512.536611254426,8.635435412455594
boot,13000.0,60.0,6251.345068785945,15102.711369037484,20059.57802606297,1183.559170710337,0.19774070836821014,0.32412913333218013,626.7115811749993,6183.975563418733,7.760003654874642
boot,13000.0,70.0,5078.076220483217,13040.48739182597,18956.37146800883,1177.653351702467,0.12573802024077035,0.27816697210464214,610.0177416070376,4946.915907068713,5.624433334125223
boot,13000.0,80.0,5082.984449069002,13438.589245363863,19782.37403291313,1211.1033423254366,0.14977470232099827,0.2827561361422826,622.9750971992654,5010.98603186033,5.3777107730414855
boot,13000.0,90.0,3438.6339100388805,9154.741935800364,17203.23796147256,1243.3607360412932,0.49466794119128377,0.23412342022274304,610.9293366935045,3523.4704163574675,1.3479046381834998
boot,13000.0,100.0,2481.187296295297,4821.659851581236,12880.675452831327,1172.6604187568246,0.0007431642789913298,0.23354385414840917,608.8571069690164,2608.6939482066073,0.2322133302998751
boot,13000.0,110.0,5023.300438879611,19217.940332529713,27427.685206993527,1109.6055860417391,1.5760786634948896,0.33449353116138314,637.9097916746099,4674.310614469838,3.565734935917093
boot,13000.0,120.0,1527.4935183800083,3350.2333308835423,7739.4900923954965,1220.9974684695242,0.03234379925556168,0.257958428192033,611.7132535057145,1583.4691873807149,2.504183354218088
boot,13000.0,130.0,1457.3690477135044,3118.0282666689814,7667.251191332749,1235.733431255746,0.03307697345383712,0.2703786399567948,626.9796160323625,1503.2500562166297,2.36844769946052
boot,13000.0,140.0,3320.470782191647,10207.688081506258,16104.345240062245,1193.6149396571975,0.8447511571548105,0.2830650374668611,629.5314507821712,3177.3549488810877,2.3752615256306133
boot,13000.0,150.0,5520.040306123752,9034.46339337171,14118.404083497771,1108.2174216831804,0.0022932816677379403,0.14778526087325272,653.8035606028817,5800.385297591679,0.09806105440380672
boot,13000.0,160.0,2163.337304119258,3863.9804481514875,8164.412118302445,1237.7842251440363,0.0019353856331540856,0.22359468825302783,639.76530257605,2357.0102972113045,0.040279970693267324
boot,13000.0,170.0,3667.1166305473025,9340.502690164629,12098.419034628136,1133.313943880976,0.09743785595353943,0.2595859596489517,641.0260368118766,3467.1462322621733,0.5853791257694629
boot,13000.0,180.0,2595.2394144126,4332.884782848152,7066.62107562517,1237.1905869947714,0.0010122087865128903,0.25121903052504313,618.1130584463325,2351.3257464170983,0.008601753141143578
boot,13000.0,190.0,4412.486885938633,6763.62330591274,9385.605827589532,1115.9760337067542,1.898595228185752e-05,0.18677721381576753,630.5444361968466,4178.177963609395,0.002212305520664847
boot,13000.0,200.0,2194.1733523083267,3739.051530869596,5524.705077627904,1162.1166929279134,0.0,0.23965332467026618,629.7459783371529,2214.438541408819,0.0004293673260591094
boot,13000.0,210.0,2044.475722043678,3270.7522990115604,5058.601722726244,1073.9306323886087,0.0,0.26259958225740404,615.2640257578715,2081.9000098685337,0.00042626928691473227
boot,13000.0,220.0,3256.5627791319835,5085.559813914572,6060.044824612167,1101.0742441368575,0.0012421432465439827,0.2429577487982724,621.2285582016398,3133.633875077204,0.0004437563285784059
boot,13000.0,240.0,4232.371164228459,7350.5248626626535,8620.934473046691,1127.3086920051865,0.019096225055163233,0.18728562648673458,593.7424728160096,4590.851715726744,0.00011242128003853793
boot,13000.0,250.0,4580.821123258287,6927.759758695026,9389.54196852476,1161.270416908626,0.00019013886911348576,0.18439475726113466,620.9294078274627,4724.220355068517,0.0005971958773581303
boot,13000.0,260.0,2870.1851414842235,4997.262550271683,7999.060018084336,1145.4134212781005,0.002591012251196453,0.26732448066068654,599.7114263809082,3143.460108411568,0.015564862091001443
boot,13000.0,270.0,5385.517638806784,6923.996752173968,9580.963200512171,1194.92753336047,0.0001339921774556501,0.20968902602856132,643.0054619306935,4875.451478201869,0.0037437440102766183
boot,13000.0,280.0,5940.685448374498,7879.818696146267,10640.5116936853,1087.647059297528,7.81883235845343e-06,0.16681059862482853,632.5978852676349,6129.496987841884,0.0001092774802219486
boot,13000.0,290.0,6106.987245062033,7782.3893111361,10053.032816467472,1143.1476904556794,7.720793048039963e-06,0.178707553980618,664.2764499926749,5587.980066611062,0.0001124508612990528
boot,13000.0,300.0,5399.747220317326,7230.388276133576,10010.0943106728,1115.1911820832988,7.786599444684194e-06,0.1685444111295491,621.7495367050074,5574.106853112435,0.0001134827318869407
boot,13000.0,310.0,5314.908323526643,7433.127537689286,10012.549251660374,1109.0195372940575,0.04487393402212195,0.1647794939434112,606.6291582967182,5405.732223860204,0.00010917095878369178
boot,13000.0,320.0,2626.6281948877468,6087.852770232258,10141.799596206418,1221.7649014241015,1.0764370680105528,0.2087262249512867,630.9037904778978,2662.7094014089425,0.06087828495529246
boot,13000.0,330.0,2586.9552092322783,6324.633866472921,10588.449081896362,1310.408083369105,0.12593309456759236,0.20993233858934443,640.4060547095582,2565.780064901416,0.05805572409721406
boot,13000.0,340.0,2182.1932671087343,3831.974542114868,7548.192826725023,1256.7982791610964,0.030284497286650707,0.5141954107237594,624.7550066531355,2361.780436795691,0.11582732075103994
boot,13000.0,350.0,3822.764640697619,6936.098387183792,10782.53547305316,1102.4641424406668,1.458690890108204e-05,0.1554484686391296,608.0527269278608,3745.954693513452,0.004066997079036171
boot,13000.0,360.0,3584.0712200206863,7638.981086222482,11136.015137648074,1109.3541822557522,1.543129565804382e-05,0.1332971153542195,629.3739814621907,3581.7951494792155,0.0
boot,13000.0,370.0,3283.9182533377825,6567.862098700765,10484.718920830515,1114.6425245146913,1.4606196627202102e-05,0.13280724131108007,630.9395097790831,3230.4214794217974,0.0
boot,13000.0,380.0,2363.925302204564,4955.65981787752,8305.266509301457,1178.1654865303124,1.4423801125277762e-05,0.17909927176132262,635.581744610003,2368.6578686101516,0.0
boot,13000.0,390.0,2737.420953859939,5556.87215788411,9007.853347014869,1070.7309564378786,1.489652270574881e-05,0.12739791484528662,622.6578672930626,2783.392555720311,0.0
boot,13000.0,400.0,3249.7710376575587,5596.116555631507,9202.678152941382,1119.173700342082,1.4586906443027323e-05,0.11159389505665852,670.22698344269,3378.6842015908605,0.0
boot,13000.0,410.0,3563.0998083847553,8038.789790136833,12416.51573764542,1130.5739960337376,0.3690567713776394,0.19061808493827892,627.3928311266947,3537.9714983710687,0.041284448400087034
boot,13000.0,420.0,1813.733831545892,3424.3282230657464,6593.702200402422,1232.1418767661733,0.057722337872620086,0.5548968692290293,633.5370946004948,1872.2796333488927,0.15642217572191525
boot,13000.0,430.0,1807.5161376584513,3332.4386424638037,5809.049770546232,1184.668447217997,0.03080708340493096,0.5221504979304482,601.9547834030313,1824.1709540656343,0.1346293366670691
boot,13000.0,440.0,2272.6457139506924,4525.001359685206,8686.74734262585,1204.2580163503378,0.0,0.19548097884437418,635.0872885893676,2403.2250742647257,0.00031170764414206384
boot,13000.0,450.0,4722.649544684258,6377.441067292657,10025.567973092984,1125.5316127250153,0.0,0.13323743557137036,650.6015619679409,4699.698830212313,0.0003093643084456575
boot,13000.0,460.0,5102.353396974819,6917.0939081235465,10220.446877600432,1048.9618186081484,0.0,0.10749852111415142,653.3519874746887,5050.275244049908,0.0003031739535957937
boot,13000.0,470.0,4566.250837577764,7604.681812185307,11569.754328448536,1050.666895800348,0.0,0.11676688620364593,640.5343615022808,4413.455377631297,0.0003285626919204674
boot,13000.0,480.0,4526.398725317844,7782.95243964942,11419.335605058637,1116.3885225325637,0.0,0.11555289833227303,609.210107355974,4521.2587213969355,0.00032313481907889264
boot,13000.0,490.0,4082.598287884837,7766.843518409517,11632.31382262094,1042.8098301837874,0.0,0.14290216310725395,627.608720943045,3957.2693142743738,0.00275181394914494
boot,13000.0,500.0,1911.3134520154993,3792.5423941299937,7252.170958400713,1282.092307075172,0.0011941816449899376,0.30771586217229535,582.1216813113987,1941.0255011442937,0.016539031129313802
boot,14000.0,50.0,6472.129713814042,15056.885885465546,19567.534479137994,350.1143328765747,0.263527284595977,0.21492524156758788,644.4872808739436,6552.924766012668,8.492594266284542
boot,14000.0,60.0,6902.893888884505,14033.01685539973,20177.461964984206,372.1627263267901,0.18926569301656251,0.2003169918398401,629.5832870314761,6101.117711141278,7.5183627657133325
boot,14000.0,70.0,6007.257152743517,13351.485561474965,18962.958409903353,356.6715732388386,0.12687785780827943,0.19882144474317556,626.2179891295497,5995.005752358467,5.679393708796092
boot,14000.0,80.0,5703.674090703865,13192.489139418507,19465.21589545004,356.6777429963339,0.1538648111241051,0.19564121837935283,617.2559108079531,5329.101091580744,5.31903310552487
boot,14000.0,90.0,4200.27476507879,10365.204938746008,18711.698662441122,363.2986994956491,0.4955544775801977,0.16925296210390606,582.0567088210227,4191.033176022064,1.4036143583146408
boot,14000.0,100.0,3178.380360877271,5856.690787030554,13057.351988272252,362.3917575222089,0.0007347694145967684,0.16961060645039003,571.5091076897531,3125.5743333553146,0.24247468375032438
boot,14000.0,110.0,5267.13175688179,19062.7930501593,27919.39275232704,371.59470305092157,1.561570797066789,0.20039788450924637,613.5753098964728,5521.207674671477,3.6592787713905803
boot,14000.0,120.0,2433.382710816398,4381.775927900752,8699.094542652465,373.8107416365772,0.033425098565877685,0.17792565324985612,565.6685752995961,2287.8052105132074,2.5447099237721407
boot,14000.0,130.0,2343.959109270212,4206.781696999811,8006.3007063817395,372.3991957376992,0.03566464046470039,0.18566165812420893,600.5573476377268,2380.582925120795,2.4663925249824703
boot,14000.0,140.0,3867.1077428216304,10563.172387197003,16116.531846778844,389.4996927036368,0.8889258508815328,0.20485709826081017,658.8985442271887,3672.7956798333735,2.404873160920749
boot,14000.0,150.0,5968.507951081037,8914.952504764891,14471.593662714977,372.34820078710663,0.002427503048226746,0.14342194384004528,611.5934169101726,5890.646830008708,0.10036245948573114
boot,14000.0,160.0,2763.990106348312,4581.287084522883,9041.167821420948,390.4844355058937,0.0019385203177304136,0.16288664622291676,578.2151829400289,2978.858849008382,0.041319449532367325
boot,14000.0,170.0,3791.7905493168128,9067.905529751832,12605.786991605699,381.76044048199395,0.10010795109980217,0.18040053198599174,620.5592564273576,3833.419126811344,0.5860973584384289
boot,14000.0,180.0,3043.2177907266623,4744.0470203257555,8195.763937073549,393.609366091394,0.0011409998095397585,0.18252177677790468,652.4123097813067,3128.081115930254,0.010935014602054385
boot,14000.0,190.0,4607.0348148382245,7419.71864712973,10454.95474429754,406.32588261703614,9.338601666846466e-06,0.16342716563398396,635.0817569847273,4782.703818162976,0.0015855731336374438
boot,14000.0,200.0,2743.6773874477835,4426.357031849184,6559.0256458499425,397.25904444375396,0.0,0.1941295048887888,626.8428766730829,2727.774716236604,0.0004290701121820543
boot,14000.0,210.0,2569.630938695289,4069.0404737082704,6371.175516798651,388.68182983581823,0.0,0.18518585821299785,648.5318668436015,2629.347638969955,0.0004423711704003207
boot,14000.0,220.0,4136.705186281796,5889.1113080678515,7317.013383940106,399.17807780983475,0.0012478151113484504,0.18122083052813262,637.7800371180022,3748.2904876393004,0.00046403762620710623
boot,14000.0,230.0,4830.741326123982,9178.022336464146,12214.726139196688,457.84762800215236,1.3656927475570397,0.15955591838052033,590.7104415131306,5035.053673130484,0.07979564090264238
boot,14000.0,250.0,5188.859171224405,7845.772733989195,9462.88230282816,682.4876626287659,0.00019854571540350245,0.11613640099365836,589.4861965634902,4921.880291486068,0.0005970880577495884
boot,14000.0,260.0,3388.479831186696,5383.147165706348,8695.97786882015,696.486545534883,0.0023580471613073675,0.13514406181116653,578.7217616581802,3234.8500832811324,0.015682987232231504
boot,14000.0,270.0,5227.029917364969,7105.621894066755,10042.020240623331,715.1083362273222,0.0001327079944305132,0.16306308833098226,629.0922630586863,5606.851160285238,0.0036809524456438663
boot,14000.0,280.0,5867.472941907034,8212.474268092798,10573.881123530837,711.2992836590759,8.074899630864522e-06,0.15140415963111334,639.4233056967546,6228.597270885848,0.00010664171408801372
boot,14000.0,290.0,5926.721297689923,7900.570783215204,10730.29777901373,714.2713597286566,7.887392994759183e-06,0.16953051957998913,635.025009032189,5893.045707788263,0.00010798711142297642
boot,14000.0,300.0,5627.22665712887,7576.538012150575,11224.587707233264,706.7382325552608,8.361191671619035e-06,0.17461110469648058,665.8379204614803,5668.834400518029,0.00011072411258610132
boot,14000.0,310.0,5735.49403321617,7845.2584119882285,11280.301740930443,707.2863433059769,0.019701494215830995,0.14638490011037214,636.6878238474152,5713.106867169409,0.00011132803015940876
boot,14000.0,320.0,2998.414944131672,6902.906681532602,11391.178848955897,672.9803404321196,0.43209148531160085,0.15343471597850647,612.3731172317687,2931.5307041166043,0.06064946539180039
boot,14000.0,330.0,3063.1448125406946,7077.618164957514,11278.743794352391,716.5755682279289,0.08521058701951159,0.13604649681933806,654.7898822892073,3138.771853456998,0.05839526979016747
boot,14000.0,340.0,2906.4318719921616,4536.903098365339,8429.001478044396,712.2224821842478,0.032022063156353815,0.1966801328874363,628.8299569935289,2847.892741164899,0.12182856350276632
boot,14000.0,350.0,4320.407427244993,6826.346456683509,11992.254843153138,688.4885983513102,1.471692016190752e-05,0.07876703142086708,612.0627705785613,4198.206940013866,0.003901877439635917
boot,14000.0,360.0,4104.371555314413,7906.391726259321,12724.38931198453,671.9753643088974,1.4724407889401346e-05,0.07800948434722596,626.4960114042185,3997.2554868465318,0.0
boot,14000.0,370.0,3742.2285143999884,6816.45143742068,11456.753058766746,582.1966223665726,1.4579068488872934e-05,0.08414271917878076,622.9620366308267,3462.3845442757697,0.0
boot,14000.0,380.0,2807.226915547387,5211.152257944042,10043.32350882314,578.3822611575871,1.4839673175460369e-05,0.11215748035174207,608.0794805810233,2806.3513326032967,0.0
boot,14000.0,390.0,3078.019098198826,6110.039920846257,10619.172599854965,574.4460811171826,1.4067304181422842e-05,0.10380796829906186,651.1201963692703,3067.057395691328,0.0
boot,14000.0,400.0,3593.444481617017,6634.0218314709255,10317.455913570378,569.7921449288013,1.4436180472435795e-05,0.1141397410905671,620.5906849499954,3448.2774967836262,0.0
boot,14000.0,410.0,3739.3842008435518,8233.908370776015,12933.053908187852,553.2882116719605,0.3729284443482001,0.13024727147813356,618.8323765190804,3618.0191581015065,0.037716522159229396
boot,14000.0,420.0,2300.1733958788304,4211.68823235339,6750.831361295044,577.839358235286,0.05453953481604458,0.2507207598762173,660.288488216597,2242.4986233522563,0.14529092715946604
boot,14000.0,430.0,2413.0422150327777,3869.216436018449,6764.764675622375,572.360499270931,0.03109644240238992,0.24336716054192545,607.9510901348237,2506.8286343269324,0.14408956759389377
boot,14000.0,440.0,2915.848915079123,5466.1179969216155,9258.015148936713,579.5539523371685,0.0,0.1432262009562345,624.0018591048505,2765.0575090586003,0.0002963004487786876
boot,14000.0,450.0,5193.320033643304,6524.383116963547,11081.128957699064,600.881513756384,0.0,0.08179180430581456,681.547803842582,5125.866671151125,0.0003007804013831692
boot,14000.0,460.0,5394.587663182487,7473.652418594052,11605.370009424125,562.2138319118998,0.0,0.08715751688420004,636.7713443529708,5272.95584562336,0.00031913374833796466
boot,14000.0,470.0,4977.950728050916,7917.709802895659,11944.53667303304,577.1802867811763,0.0,0.12656762608534303,622.2421013490389,4607.0245704884155,0.00029687788188496997
boot,14000.0,480.0,4816.082806987366,8198.871118293033,12319.739613428284,538.137993130653,0.0,0.1362102003099851,599.6605498737428,4776.892775192193,0.0003206617435261722
boot,14000.0,490.0,4437.010246979234,7233.773750743437,12836.009695296136,614.3467935907898,0.0,0.15092499682518182,592.6046255127386,4460.9609680265585,0.0016724688269071026
boot,14000.0,500.0,2441.445241610615,4408.643509502026,8146.800106465703,578.5462314900333,0.001149703608828453,0.2165612955561215,577.6502648473271,2371.2924449831185,0.015098493276351354
boot,15000.0,120.0,9245.495879994585,12937.102019054482,16803.84045470727,64.16375009478998,0.035424721553404245,0.1558092461289886,631.7546990624156,9173.430937518415,3.1429751422280834
boot,15000.0,130.0,8835.282478826883,12492.972072774011,17167.43717642222,71.20979513481932,0.03702001191712831,0.16232707193958243,655.2172839614284,8642.395534464502,2.7563148606419987
boot,15000.0,220.0,6948.034070243089,10715.245935095132,15617.989552677023,110.39345297830123,0.0012509366569640943,0.15688744711959046,665.0216218870072,7042.353128613267,0.0
boot,15000.0,230.0,7065.195381809778,10547.569020126515,16710.76330056648,105.27637475273687,1.3433469503667699,0.14293049980279546,647.5350270844915,7599.881235582507,0.05210885711169339
boot,15000.0,320.0,7716.240432665302,11153.158108376998,15214.938285224518,159.22177747267668,0.44379058410572125,0.12517004405179294,681.3580210977241,8305.717676314267,0.039174884683017
boot,15000.0,330.0,8517.88029129291,12104.237912250013,16797.374117103584,154.3143260756612,0.07737617513934464,0.11275447069087877,697.0420277918756,8339.245610622802,0.037952448788224395
boot,15000.0,340.0,9196.881784357476,10121.077836454733,15502.32676025028,156.60921031589314,0.031580792944874765,0.09344211436736286,677.6619579721473,8727.26137602776,0.07035541557668865
boot,15000.0,420.0,7037.461512054915,9578.471757118015,15497.070899210177,193.9029124728602,0.05477885240650869,0.11507765906768101,590.8944920482633,7117.919169547129,0.11278641618883131
boot,15000.0,430.0,7864.816650322492,9937.710487520559,14432.946656422882,205.45629703143953,0.03211479453194844,0.12638609304124537,624.1347455135368,7836.533852113729,0.09640805584915972
boot,16000.0,50.0,11735.77755620754,14446.859272593805,19768.300664115708,29.718359945980612,0.19247998096221045,0.16709384707601274,649.8401523516418,11201.566228813628,8.718402715674268
boot,16000.0,60.0,10755.387582435105,13923.531907468327,20303.231363204406,33.87987193923539,0.17173707740181757,0.16828755595533412,665.4260804546913,11031.857050806744,8.117582078637039
boot,16000.0,70.0,10648.874325221024,13634.394140333627,19394.181812798328,37.708098933871135,0.12734807578968108,0.1550884919718643,644.5090847094453,10068.69620197952,5.699119167580531
boot,16000.0,80.0,9978.816977442157,13366.147867167392,18401.44348701364,44.09706500245236,0.12064116259382063,0.15902636379767465,610.3517070230084,9982.30129829179,5.137885528588888
boot,16000.0,90.0,9389.750808722565,12225.906815615488,19097.676492275077,49.02912455578698,0.1390174532980506,0.14921304994499981,594.7488401147111,9033.627251376225,2.122336469555192
boot,16000.0,100.0,8397.090995033474,12063.102450569373,19197.32064375127,50.3603581701162,0.03237604716840909,0.14725562829520455,586.1070417104903,8460.776212696504,1.403847158258968
boot,16000.0,110.0,9100.572407156407,12508.956501232165,19577.82351502488,52.43148304896267,1.5593849225225618,0.15189204530286424,599.9868678270909,9224.20890376908,3.7563766132948047
boot,16000.0,120.0,9290.265377517153,13027.369735007658,16783.02069255033,64.06526648732715,0.1549534005166404,0.1571142204473859,617.8765627462739,8771.529443957701,3.3025308639744395
boot,16000.0,130.0,9263.329624328486,11714.130467881068,15611.052038196087,70.6591797842125,0.16138245482096264,0.15701584122601084,660.5109036687466,9276.201266236536,2.866530632223597
boot,16000.0,140.0,8417.899532643296,11839.808702133798,17341.234026401988,72.25378988273341,0.864942765525732,0.16734627831040094,653.7984520404731,8056.250976204122,2.815895427173001
boot,16000.0,150.0,7270.073824213768,10911.148633028726,17057.766754942484,65.37642338212751,0.004492116578906058,0.14663113090354402,668.510096932607,7739.624641450042,1.7561227648555617
boot,16000.0,160.0,7390.874510692762,11017.385406543193,16986.085397150404,73.09453454247026,0.006500964613481808,0.15313384817727957,693.7228067862076,7655.142032643607,1.6227651251622275
boot,16000.0,170.0,7694.565241777513,11791.272402040388,17466.664010932298,81.90827904603863,0.07456798449521244,0.15270207441469683,608.3739564612481,7867.442720382754,1.8433965879996437
boot,16000.0,180.0,7069.480018361339,10985.501279151946,16617.024641176045,89.47842497595282,0.006277511283806693,0.15843229836687137,691.9686631070294,7164.678993375892,1.727883681242093
boot,16000.0,190.0,7576.597781135306,10808.615691651969,16584.798290968312,92.70980220170286,0.005413365789494946,0.163720638247466,653.1778562915598,7240.4507364773135,1.7192930429334055
boot,16000.0,200.0,7226.467428115196,11714.88961808534,15569.437948330231,101.69014313667657,0.005457725236861379,0.16407076839655504,627.352981615613,7358.5057692088985,1.7289436151390771
boot,16000.0,210.0,6772.423308497737,10450.152392052334,15821.362669568322,107.16116595079059,0.0052698393307591814,0.1647607334866383,669.2014110583236,6948.952737189485,1.6711647657590798
boot,16000.0,220.0,6785.215861580926,10537.615489740521,15164.671806077733,107.51212427964147,0.006854278900738425,0.14999258067020602,669.6159946442284,6909.217185535384,1.7987205021869554
boot,16000.0,230.0,7422.675410278842,10999.418184607577,15593.108414868011,112.11264042859754,1.2669939249820346,0.1451900675378037,649.7047613707347,7401.449775723096,1.6699260093440076
boot,16000.0,240.0,7322.783091400392,10702.555776926814,16292.02294432259,124.8400170739537,0.016875849924890204,0.13483711701224846,651.1058274912742,7072.896343261762,1.742627757963909
boot,16000.0,250.0,6108.565596218591,8833.924694031564,11816.060624287365,129.84426822475555,0.014093522727779627,0.07998365114858512,623.7936314990922,5872.434237856618,1.6728757682359239
boot,16000.0,260.0,6311.541424208128,9793.989428122775,11234.99645079418,143.26027763568007,0.016724064060014875,0.08634076961885066,631.191622398415,6365.4981719685875,1.688131982017311
boot,16000.0,270.0,6439.029811989154,9466.046701751713,12506.0744405003,144.6099854914056,0.015341268672481064,0.14433793378515078,673.5434583563357,5937.744232155812,1.7111861788399259
boot,16000.0,280.0,5934.782905410327,9018.623753283786,12588.523127579629,151.12817082313208,0.015117420355228825,0.1374466781366902,662.674890859725,6317.13472598913,1.7277336506455008
boot,16000.0,290.0,5745.264918611289,9233.592282958098,12067.83373357668,160.55716353138686,0.015751473531872354,0.14804756248647713,666.9607350259008,5896.700887649803,1.734887970284886
boot,16000.0,300.0,6235.325424695102,9518.77886324056,12648.071452526223,161.15414127672554,0.014987981690517474,0.17127140176929803,682.4746100905991,6025.080139891495,1.6849483753624515
boot,16000.0,310.0,6737.217439994385,11109.734631486177,16701.515110601402,151.5460873409212,0.02196793038975151,0.12032018166543447,665.8761519413827,7284.603618287573,1.7208522079111794
boot,16000.0,320.0,7689.009611406928,11393.762227033003,15595.56436114586,150.96560478186487,0.2520588203501268,0.12415228541567554,683.0030858725588,7188.945729791339,1.6770223857918667
boot,16000.0,330.0,7588.975479383085,10715.670673150713,15590.014270213629,139.03939116812091,0.07415156151035324,0.11508527196604898,647.7423993163036,7509.083200085561,1.6769446507617007
