Service,FrameWork,TPS,Threadpool,Avg Response Time(ms),P95,P99,Throughput(rps),Error Rate,CPU Usage,Memory,Latency(ms),Request Timeouts
user,webflux,45000.0,400.0,69.79,86.9,96.03,41034.37,0.0,0.48,765.0,70.68,0.0
user,webflux,45000.0,450.0,85.29,104.01,109.53,38582.77,0.0,0.47,761.0,84.47,0.0
user,webflux,45000.0,500.0,91.0,105.27,111.27,41750.04,0.0,0.5,770.0,91.9,0.0
user,webflux,50000.0,50.0,62.81,79.19,91.25,45613.07,0.0,0.43,816.0,63.08,0.0
user,webflux,50000.0,100.0,67.37,84.82,95.77,47393.28,0.0,0.45,803.0,67.55,0.0
user,webflux,50000.0,150.0,64.56,76.34,81.51,42889.47,0.0,0.44,807.0,64.91,0.0
user,webflux,50000.0,200.0,67.46,83.33,89.18,44613.46,0.0,0.46,822.0,67.14,0.0
user,webflux,50000.0,250.0,69.86,87.52,98.25,45938.74,0.0,0.48,804.0,69.3,0.0
user,webflux,50000.0,300.0,79.89,96.22,110.61,44665.44,0.0,0.48,822.0,80.04,0.0
user,webflux,50000.0,350.0,76.86,92.79,98.95,46434.08,0.0,0.5,822.0,77.7,0.0
user,webflux,50000.0,400.0,70.24,86.59,98.91,44451.32,0.0,0.5,842.0,69.36,0.0
user,webflux,50000.0,450.0,75.89,92.69,104.54,46031.78,0.0,0.52,829.0,75.6,0.0
user,webflux,50000.0,500.0,75.33,94.34,108.39,42613.8,0.0,0.51,828.0,74.99,0.0
Analytics,boot,5000.0,50.0,747.06,1140.0,1220.0,2654.32,0.0,0.51,554.7,747.06,0.0
Analytics,boot,10000.0,50.0,737.18,1140.0,1260.0,2692.73,0.0,0.36,618.6,737.18,0.0
Analytics,boot,50000.0,50.0,784.52,1190.0,1290.0,2529.34,0.15,0.42,623.4,784.52,4.0
Analytics,boot,5000.0,100.0,779.72,1190.0,1300.0,2545.65,0.0,0.36,554.9,779.72,0.0
Analytics,boot,10000.0,100.0,762.58,1160.0,1260.0,2603.21,0.0,0.41,623.1,762.58,0.0
Analytics,boot,50000.0,100.0,762.06,1150.0,1240.0,2605.79,0.3,0.42,623.6,762.06,11.0
Analytics,boot,5000.0,200.0,774.17,1170.0,1280.0,2563.07,0.0,0.51,557.1,774.17,0.0
Analytics,boot,10000.0,200.0,770.34,1180.0,1290.0,2575.01,0.0,0.41,623.2,770.34,0.0
Analytics,boot,50000.0,200.0,739.81,1130.0,1220.0,2682.03,0.54,0.71,623.9,739.81,32.0
Analytics,boot,5000.0,500.0,755.27,1140.0,1210.0,2628.42,0.0,0.44,557.4,755.27,0.0
Analytics,boot,10000.0,500.0,766.63,1160.0,1270.0,2589.31,0.1,1.06,623.5,766.63,1.0
Analytics,boot,50000.0,500.0,783.5,1180.0,1270.0,2535.61,0.5,0.35,624.0,783.5,23.0
Analytics,webflux,5000.0,50.0,12.5,35.0,55.0,3950.0,0.0,0.18,420.0,12.5,0.0
Analytics,webflux,5000.0,100.0,14.8,40.2,62.3,4150.0,0.0,0.22,430.0,13.24,0.0
Analytics,webflux,5000.0,200.0,18.9,52.1,78.4,3780.0,0.0,0.25,445.0,18.2,0.0
Analytics,webflux,5000.0,500.0,25.3,70.5,105.2,3120.0,0.0,0.3,470.0,24.6,0.0
Analytics,webflux,10000.0,50.0,15.2,45.3,68.7,7250.0,0.0,0.35,480.0,14.5,0.0
Analytics,webflux,10000.0,100.0,18.4,52.8,80.1,6900.0,0.0,0.4,502.0,17.8,0.0
Analytics,webflux,10000.0,200.0,22.7,64.3,95.6,6250.0,0.0,0.45,520.0,21.3,0.0
Analytics,webflux,10000.0,500.0,30.5,85.2,120.4,6250.0,0.0,0.5,550.0,30.2,6.0
Analytics,webflux,50000.0,50.0,20.1,60.5,90.3,11800.0,0.0,0.55,800.0,19.4,0.0
Analytics,webflux,50000.0,100.0,24.8,70.2,105.7,10500.0,0.0,0.45,850.0,23.5,0.0
Analytics,webflux,50000.0,200.0,29.5,82.4,125.0,9200.0,0.1,0.86,832.0,28.9,0.0
Analytics,webflux,50000.0,500.0,40.2,115.0,180.3,7800.0,0.0,0.7,934.0,37.2,0.0
search,boot,5000.0,50.0,6825.44,31240.78,49860.21,4218.37,7.92,0.34,248.6,6952.11,1.0
search,boot,10000.0,50.0,12874.91,58230.45,82190.77,5034.22,22.61,0.49,279.3,13120.54,5.0
search,boot,50000.0,50.0,46291.33,109840.62,167430.88,6211.91,51.84,0.69,332.8,47102.66,24.0
search,boot,5000.0,100.0,2598.62,5129.88,14842.19,4687.54,0.0,0.21,502.7,2714.95,0.0
search,boot,10000.0,100.0,4021.77,8831.34,22194.6,9148.93,0.0,0.27,551.9,4176.31,0.0
search,boot,50000.0,100.0,19814.55,41522.91,70840.23,29788.4,26.12,0.43,603.4,20130.87,9.0
search,boot,5000.0,200.0,1546.84,3014.27,7811.66,4942.11,0.0,0.17,542.3,1604.39,0.0
search,boot,10000.0,200.0,2321.58,4748.92,10864.73,9841.25,0.0,0.22,587.8,2415.72,0.0
search,boot,50000.0,200.0,14176.21,29444.7,50112.95,40842.19,11.36,0.36,635.6,14402.64,4.0
search,boot,5000.0,500.0,1832.26,3791.42,8655.91,4988.64,0.0,0.19,586.2,1901.77,0.0
search,boot,10000.0,500.0,2846.71,6039.18,12492.44,9964.83,0.0,0.25,624.1,2930.12,0.0
search,boot,50000.0,500.0,15643.88,32760.45,55214.36,45890.17,8.71,0.4,682.9,15820.55,6.0
search,webflux,5000.0,50.0,6.82,21.44,32.78,4512.38,0.0,0.15,428.4,6.51,0.0
search,webflux,5000.0,100.0,5.41,17.26,25.83,4869.52,0.0,0.16,435.9,5.19,0.0
search,webflux,5000.0,200.0,9.86,34.97,51.34,4724.19,0.0,0.17,448.1,9.43,0.0
search,webflux,5000.0,500.0,27.61,92.48,137.77,4098.66,0.0,0.2,492.7,28.92,0.0
search,webflux,10000.0,50.0,7.29,15.33,22.84,6988.41,0.0,0.19,514.6,6.94,0.0
search,webflux,10000.0,100.0,10.84,27.92,40.18,8217.94,0.0,0.22,529.2,10.31,0.0
search,webflux,10000.0,200.0,12.92,35.71,49.26,7954.61,0.0,0.21,547.8,12.36,0.0
search,webflux,10000.0,500.0,49.88,138.22,206.51,7542.08,0.0,0.26,612.4,48.33,0.0
search,webflux,50000.0,50.0,8.11,17.44,25.73,7219.52,0.0,0.2,782.6,7.72,0.0
search,webflux,50000.0,100.0,12.44,29.86,42.51,8946.33,0.0,0.23,811.8,11.92,0.0
search,webflux,50000.0,200.0,15.63,38.71,52.9,11912.77,0.0,0.24,848.9,15.01,0.0
search,webflux,50000.0,500.0,22.98,55.44,71.83,10864.25,0.0,0.31,914.3,23.86,0.0
rate limiter,boot,5000.0,50.0,118.42,684.91,1245.38,4728.64,0.0,0.22,185.6,120.37,0.0
rate limiter,boot,10000.0,50.0,496.83,2742.56,4819.77,6124.91,8.41,0.39,201.4,503.28,1.0
rate limiter,boot,50000.0,50.0,4126.55,15842.71,28731.49,7411.83,39.88,0.68,243.9,4198.04,16.0
rate limiter,boot,5000.0,100.0,42.61,191.34,382.15,4922.87,0.0,0.17,356.2,44.08,0.0
rate limiter,boot,10000.0,100.0,96.74,514.22,981.64,9384.42,0.0,0.25,389.5,98.91,0.0
rate limiter,boot,50000.0,100.0,2167.48,8426.93,15632.27,32144.29,18.27,0.44,428.7,2213.96,6.0
rate limiter,boot,5000.0,200.0,21.33,84.55,162.79,4981.76,0.0,0.14,401.9,22.05,0.0
rate limiter,boot,10000.0,200.0,38.92,162.31,298.64,9873.58,0.0,0.2,435.2,40.18,0.0
rate limiter,boot,50000.0,200.0,1463.29,5841.77,10428.91,43188.34,7.64,0.36,469.8,1491.82,3.0
rate limiter,boot,5000.0,500.0,29.84,121.48,231.69,4993.25,0.0,0.16,452.7,30.92,0.0
rate limiter,boot,10000.0,500.0,51.73,226.19,412.88,9976.41,0.0,0.22,488.3,53.41,0.0
rate limiter,boot,50000.0,500.0,1714.62,6912.35,12241.78,46219.77,5.91,0.39,531.4,1748.55,4.0
rate limiter,webflux,5000.0,50.0,1.42,4.91,7.88,4896.73,0.0,0.11,268.4,1.37,0.0
rate limiter,webflux,5000.0,100.0,1.16,3.82,6.04,4974.29,0.0,0.12,273.9,1.11,0.0
rate limiter,webflux,5000.0,200.0,2.44,8.91,13.74,4921.88,0.0,0.13,281.7,2.36,0.0
rate limiter,webflux,5000.0,500.0,6.78,24.62,36.18,4684.55,0.0,0.15,312.9,6.93,0.0
rate limiter,webflux,10000.0,50.0,1.69,3.41,5.16,7412.84,0.0,0.14,342.1,1.61,0.0
rate limiter,webflux,10000.0,100.0,2.84,7.93,11.88,8644.37,0.0,0.17,354.6,2.71,0.0
rate limiter,webflux,10000.0,200.0,3.71,10.62,14.91,8421.55,0.0,0.16,368.4,3.56,0.0
rate limiter,webflux,10000.0,500.0,11.83,39.72,58.44,8093.12,0.0,0.2,417.3,12.47,0.0
rate limiter,webflux,50000.0,50.0,2.11,4.48,6.91,7642.29,0.0,0.16,521.6,2.02,0.0
rate limiter,webflux,50000.0,100.0,3.36,8.17,12.29,9231.84,0.0,0.18,549.8,3.22,0.0
rate limiter,webflux,50000.0,200.0,4.88,12.91,18.34,12374.51,0.0,0.19,581.9,4.71,0.0
rate limiter,webflux,50000.0,500.0,7.62,19.48,26.71,11428.66,0.0,0.27,648.2,7.94,0.0
,boot,5000.0,50.0,5610.0,33700.0,50000.0,8.55,0.0,0.31,229.0,5710.0,0.0
,boot,5000.0,60.0,4850.0,27676.0,42100.0,11.53,0.0,0.29,287.8,4837.0,0.0
,boot,5000.0,70.0,4090.0,21652.0,34200.0,14.51,0.0,0.26,346.6,3964.0,0.0
,boot,5000.0,80.0,3330.0,15628.0,26300.0,17.5,0.0,0.24,405.4,3091.0,0.0
,boot,5000.0,90.0,2570.0,9604.0,18400.0,20.48,0.0,0.21,464.2,2218.0,0.0
,boot,5000.0,100.0,1810.0,3580.0,10500.0,23.46,0.0,0.19,523.0,1345.0,0.0
,boot,5000.0,120.0,1644.0,3254.0,9440.0,31.23,0.0,0.18,520.4,1284.0,0.0
,boot,5000.0,140.0,1478.0,2928.0,8380.0,39.0,0.0,0.17,517.8,1223.0,0.0
,boot,5000.0,160.0,1312.0,2602.0,7320.0,46.76,0.0,0.17,515.2,1162.0,0.0
,boot,5000.0,180.0,1146.0,2276.0,6260.0,54.53,0.0,0.16,512.6,1101.0,0.0
,boot,5000.0,200.0,980.0,1950.0,5200.0,62.3,0.0,0.15,510.0,1040.0,0.0
,boot,5000.0,260.0,1034.4,2072.6,5282.4,59.82,0.0,0.15,526.06,1097.0,0.0
,boot,5000.0,320.0,1088.8,2195.2,5364.8,57.34,0.0,0.16,542.12,1154.0,0.0
,boot,5000.0,380.0,1143.2,2317.8,5447.2,54.86,0.0,0.16,558.18,1211.0,0.0
,boot,5000.0,440.0,1197.6,2440.4,5529.6,52.38,0.0,0.17,574.24,1268.0,0.0
,boot,5000.0,500.0,1252.0,2563.0,5612.0,49.9,0.0,0.17,590.3,1325.0,0.0
,boot,5000.0,410.0,1841.6,6250.4,11689.6,899.92,1.02,0.19,514.24,1920.0,0.0
,boot,5000.0,320.0,2431.2,9937.8,17767.2,1749.94,2.04,0.21,438.18,2515.0,0.0
,boot,5000.0,230.0,3020.8,13625.2,23844.8,2599.96,3.06,0.24,362.12,3110.0,0.0
,boot,5000.0,140.0,3610.4,17312.6,29922.4,3449.98,4.08,0.26,286.06,3705.0,0.0
,boot,5000.0,50.0,4200.0,21000.0,36000.0,4300.0,5.1,0.28,210.0,4300.0,0.0
,boot,5000.0,60.0,3680.0,17440.0,30640.0,4380.0,4.08,0.26,260.0,3780.0,0.0
,boot,5000.0,70.0,3160.0,13880.0,25280.0,4460.0,3.06,0.24,310.0,3260.0,0.0
,boot,5000.0,80.0,2640.0,10320.0,19920.0,4540.0,2.04,0.22,360.0,2740.0,0.0
,boot,5000.0,90.0,2120.0,6760.0,14560.0,4620.0,1.02,0.2,410.0,2220.0,0.0
,boot,5000.0,100.0,1600.0,3200.0,9200.0,4700.0,0.0,0.18,460.0,1700.0,0.0
,boot,5000.0,180.0,1500.0,3020.0,8380.0,4756.0,0.0,0.18,480.0,1590.0,0.0
,boot,5000.0,260.0,1400.0,2840.0,7560.0,4812.0,0.0,0.17,500.0,1480.0,0.0
,boot,5000.0,340.0,1300.0,2660.0,6740.0,4868.0,0.0,0.17,520.0,1370.0,0.0
,boot,5000.0,420.0,1200.0,2480.0,5920.0,4924.0,0.0,0.16,540.0,1260.0,0.0
,boot,5000.0,500.0,1100.0,2300.0,5100.0,4980.0,0.0,0.16,560.0,1150.0,0.0
,boot,5000.0,440.0,1064.0,2200.0,5040.0,4974.0,0.0,0.16,550.0,1116.0,0.0
,boot,5000.0,380.0,1028.0,2100.0,4980.0,4968.0,0.0,0.15,540.0,1082.0,0.0
,boot,5000.0,320.0,992.0,2000.0,4920.0,4962.0,0.0,0.15,530.0,1048.0,0.0
,boot,5000.0,260.0,956.0,1900.0,4860.0,4956.0,0.0,0.14,520.0,1014.0,0.0
,boot,5000.0,200.0,920.0,1800.0,4800.0,4950.0,0.0,0.14,510.0,980.0,0.0
,boot,5000.0,170.0,1656.0,5940.0,11140.0,4830.0,1.16,0.17,452.0,1724.0,0.0
,boot,5000.0,140.0,2392.0,10080.0,17480.0,4710.0,2.32,0.2,394.0,2468.0,0.0
,boot,5000.0,110.0,3128.0,14220.0,23820.0,4590.0,3.48,0.23,336.0,3212.0,0.0
,boot,5000.0,80.0,3864.0,18360.0,30160.0,4470.0,4.64,0.26,278.0,3956.0,0.0
,boot,5000.0,50.0,4600.0,22500.0,36500.0,4350.0,5.8,0.29,220.0,4700.0,0.0
,boot,5000.0,60.0,4020.0,18680.0,31120.0,4424.0,4.64,0.27,268.0,4120.0,0.0
,boot,5000.0,70.0,3440.0,14860.0,25740.0,4498.0,3.48,0.25,316.0,3540.0,0.0
,boot,5000.0,80.0,2860.0,11040.0,20360.0,4572.0,2.32,0.23,364.0,2960.0,0.0
,boot,5000.0,90.0,2280.0,7220.0,14980.0,4646.0,1.16,0.21,412.0,2380.0,0.0
,boot,5000.0,100.0,1700.0,3400.0,9600.0,4720.0,0.0,0.19,460.0,1800.0,0.0
,boot,5000.0,120.0,1556.0,3110.0,8720.0,4768.0,0.0,0.18,470.0,1648.0,0.0
,boot,5000.0,140.0,1412.0,2820.0,7840.0,4816.0,0.0,0.17,480.0,1496.0,0.0
,boot,5000.0,160.0,1268.0,2530.0,6960.0,4864.0,0.0,0.17,490.0,1344.0,0.0
,boot,5000.0,180.0,1124.0,2240.0,6080.0,4912.0,0.0,0.16,500.0,1192.0,0.0
,boot,5000.0,200.0,980.0,1950.0,5200.0,4960.0,0.0,0.15,510.0,1040.0,0.0
,boot,5000.0,200.0,1142.36,2507.23,6436.7,3985.72,0.0,0.15,524.0,1189.49,0.0
,boot,5000.0,200.0,1304.71,3064.45,7673.39,3011.44,0.0,0.14,538.0,1338.98,0.0
,boot,5000.0,200.0,1467.07,3621.68,8910.09,2037.16,0.0,0.14,552.0,1488.48,0.0
,boot,5000.0,200.0,1629.42,4178.9,10146.78,1062.88,0.0,0.13,566.0,1637.97,0.0
,boot,5000.0,200.0,1791.78,4736.13,11383.48,88.6,0.0,0.13,580.0,1787.46,0.0
,boot,5000.0,170.0,2075.21,4686.14,10670.07,73.3,0.0,0.13,589.6,2070.38,0.0
,boot,5000.0,140.0,2358.64,4636.16,9956.65,58.0,0.0,0.13,599.2,2353.29,0.0
,boot,5000.0,110.0,2642.06,4586.17,9243.24,42.7,0.0,0.12,608.8,2636.21,0.0
,boot,5000.0,80.0,2925.49,4536.19,8529.82,27.4,0.0,0.12,618.4,2919.12,0.0
,boot,5000.0,50.0,3208.92,4486.2,7816.41,12.1,0.0,0.12,628.0,3202.04,0.0
,boot,5000.0,60.0,2954.56,4956.51,8414.68,18.75,0.0,0.11,615.0,2950.32,0.0
,boot,5000.0,70.0,2700.2,5426.82,9012.95,25.39,0.0,0.1,602.0,2698.6,0.0
,boot,5000.0,80.0,2445.85,5897.14,9611.22,32.04,0.0,0.08,589.0,2446.87,0.0
,boot,5000.0,90.0,2191.49,6367.45,10209.49,38.68,0.0,0.07,576.0,2195.15,0.0
,boot,5000.0,100.0,1937.13,6837.76,10807.76,45.33,0.0,0.06,563.0,1943.43,0.0
,boot,5000.0,110.0,1943.25,6533.97,10648.23,55.23,0.0,0.07,560.4,1948.33,0.0
,boot,5000.0,120.0,1949.37,6230.18,10488.7,65.13,0.0,0.08,557.8,1953.23,0.0
,boot,5000.0,130.0,1955.5,5926.4,10329.16,75.03,0.0,0.08,555.2,1958.14,0.0
,boot,5000.0,140.0,1961.62,5622.61,10169.63,84.93,0.0,0.09,552.6,1963.04,0.0
,boot,5000.0,150.0,1967.74,5318.82,10010.1,94.83,0.0,0.1,550.0,1967.94,0.0
,boot,5000.0,220.0,1824.19,4755.06,9128.08,1073.86,0.0,0.11,552.0,1834.35,0.0
,boot,5000.0,290.0,1680.64,4191.29,8246.06,2052.9,0.0,0.13,554.0,1700.76,0.0
,boot,5000.0,360.0,1537.1,3627.53,7364.04,3031.93,0.0,0.14,556.0,1567.18,0.0
,boot,5000.0,430.0,1393.55,3063.76,6482.02,4010.97,0.0,0.16,558.0,1433.59,0.0
,boot,5000.0,500.0,1250.0,2500.0,5600.0,4990.0,0.0,0.17,560.0,1300.0,0.0
,boot,5000.0,460.0,1460.11,3183.76,6799.61,4025.94,0.0,0.18,586.8,1501.77,0.0
,boot,5000.0,420.0,1670.23,3867.52,7999.22,3061.88,0.0,0.18,613.6,1703.55,0.0
,boot,5000.0,380.0,1880.34,4551.27,9198.84,2097.81,0.0,0.19,640.4,1905.32,0.0
,boot,5000.0,340.0,2090.46,5235.03,10398.45,1133.75,0.0,0.19,667.2,2107.1,0.0
,boot,5000.0,300.0,2300.57,5918.79,11598.06,169.69,0.0,0.2,694.0,2308.87,0.0
,boot,5000.0,310.0,2379.14,5530.89,11115.37,174.17,0.0,0.18,684.4,2386.72,0.0
,boot,5000.0,320.0,2457.72,5142.98,10632.68,178.64,0.0,0.16,674.8,2464.57,0.0
,boot,5000.0,330.0,2536.29,4755.08,10150.0,183.12,0.0,0.15,665.2,2542.42,0.0
,boot,5000.0,340.0,2614.87,4367.17,9667.31,187.59,0.0,0.13,655.6,2620.27,0.0
,boot,5000.0,350.0,2693.44,3979.27,9184.62,192.07,0.0,0.11,646.0,2698.12,0.0
,boot,5000.0,370.0,2354.75,3847.14,8746.09,201.97,0.0,0.12,628.2,2359.46,0.0
,boot,5000.0,390.0,2016.06,3715.01,8307.56,211.88,0.0,0.14,610.4,2020.8,0.0
,boot,5000.0,410.0,1677.38,3582.87,7869.04,221.78,0.0,0.15,592.6,1682.15,0.0
,boot,5000.0,430.0,1338.69,3450.74,7430.51,231.69,0.0,0.17,574.8,1343.49,0.0
,boot,5000.0,450.0,1000.0,3318.61,6991.98,241.59,0.0,0.18,557.0,1004.83,0.0
,boot,5000.0,460.0,1000.0,3259.02,6814.85,244.93,0.0,0.16,578.8,1002.22,0.0
,boot,5000.0,470.0,1000.0,3199.43,6637.73,248.28,0.0,0.14,600.6,999.6,0.0
,boot,5000.0,480.0,1000.0,3139.84,6460.6,251.62,0.0,0.13,622.4,996.99,0.0
,boot,5000.0,490.0,1000.0,3080.25,6283.48,254.97,0.0,0.11,644.2,994.37,0.0
,boot,5000.0,500.0,1000.0,3020.66,6106.35,258.31,0.0,0.09,666.0,991.76,0.0
,boot,5000.0,420.0,808.52,2454.8,4961.51,1191.22,0.0,0.11,604.04,802.22,0.0
,boot,5000.0,340.0,617.04,1888.93,3816.67,2124.13,0.0,0.12,542.08,612.69,0.0
,boot,5000.0,260.0,425.57,1323.07,2671.83,3057.05,0.0,0.14,480.12,423.15,0.0
,boot,5000.0,180.0,234.09,757.2,1526.99,3989.96,0.0,0.15,418.16,233.62,0.0
,boot,5000.0,100.0,42.61,191.34,382.15,4922.87,0.0,0.17,356.2,44.08,0.0
,boot,5000.0,120.0,38.35,169.98,338.28,4934.65,0.0,0.16,365.34,39.67,0.0
,boot,5000.0,140.0,34.1,148.62,294.41,4946.43,0.0,0.16,374.48,35.27,0.0
,boot,5000.0,160.0,29.84,127.27,250.53,4958.2,0.0,0.15,383.62,30.86,0.0
,boot,5000.0,180.0,25.59,105.91,206.66,4969.98,0.0,0.15,392.76,26.46,0.0
,boot,5000.0,200.0,21.33,84.55,162.79,4981.76,0.0,0.14,401.9,22.05,0.0
,boot,5000.0,260.0,23.03,91.94,176.57,4984.06,0.0,0.14,412.06,23.82,0.0
,boot,5000.0,320.0,24.73,99.32,190.35,4986.36,0.0,0.15,422.22,25.6,0.0
,boot,5000.0,380.0,26.44,106.71,204.13,4988.65,0.0,0.15,432.38,27.37,0.0
,boot,5000.0,440.0,28.14,114.09,217.91,4990.95,0.0,0.16,442.54,29.15,0.0
,boot,5000.0,500.0,29.84,121.48,231.69,4993.25,0.0,0.16,452.7,30.92,0.0
,boot,5000.0,410.0,47.56,234.17,434.43,4940.33,0.0,0.17,399.28,48.81,0.0
,boot,5000.0,320.0,65.27,346.85,637.17,4887.41,0.0,0.18,345.86,66.7,0.0
,boot,5000.0,230.0,82.99,459.54,839.9,4834.48,0.0,0.2,292.44,84.59,0.0
,boot,5000.0,140.0,100.7,572.22,1042.64,4781.56,0.0,0.21,239.02,102.48,0.0
,boot,5000.0,50.0,118.42,684.91,1245.38,4728.64,0.0,0.22,185.6,120.37,0.0
,boot,5000.0,50.0,1459.82,6796.08,10968.35,4626.59,1.58,0.24,198.2,1486.72,0.2
,boot,5000.0,50.0,2801.23,12907.26,20691.31,4524.53,3.17,0.27,210.8,2853.07,0.4
,boot,5000.0,50.0,4142.63,19018.43,30414.28,4422.48,4.75,0.29,223.4,4219.41,0.6
,boot,5000.0,50.0,5484.04,25129.61,40137.24,4320.42,6.34,0.32,236.0,5585.76,0.8
,boot,5000.0,50.0,6825.44,31240.78,49860.21,4218.37,7.92,0.34,248.6,6952.11,1.0
,boot,5000.0,60.0,5980.08,26018.6,42856.61,4312.2,6.34,0.31,299.42,6104.68,0.8
,boot,5000.0,70.0,5134.71,20796.42,35853.0,4406.04,4.75,0.29,350.24,5257.25,0.6
,boot,5000.0,80.0,4289.35,15574.24,28849.4,4499.87,3.17,0.26,401.06,4409.81,0.4
,boot,5000.0,90.0,3443.98,10352.06,21845.79,4593.71,1.58,0.24,451.88,3562.38,0.2
,boot,5000.0,100.0,2598.62,5129.88,14842.19,4687.54,0.0,0.21,502.7,2714.95,0.0
,boot,5000.0,180.0,2445.35,4862.19,13604.93,4747.76,0.0,0.21,519.4,2552.31,0.0
,boot,5000.0,260.0,2292.08,4594.5,12367.68,4807.98,0.0,0.2,536.1,2389.68,0.0
,boot,5000.0,340.0,2138.8,4326.8,11130.42,4868.2,0.0,0.2,552.8,2227.04,0.0
,boot,5000.0,420.0,1985.53,4059.11,9893.17,4928.42,0.0,0.19,569.5,2064.41,0.0
,boot,5000.0,500.0,1832.26,3791.42,8655.91,4988.64,0.0,0.19,586.2,1901.77,0.0
,boot,5000.0,440.0,1775.18,3635.99,8487.06,4979.33,0.0,0.19,577.42,1842.29,0.0
,boot,5000.0,380.0,1718.09,3480.56,8318.21,4970.03,0.0,0.18,568.64,1782.82,0.0
,boot,5000.0,320.0,1661.01,3325.13,8149.36,4960.72,0.0,0.18,559.86,1723.34,0.0
,boot,5000.0,260.0,1603.92,3169.7,7980.51,4951.42,0.0,0.17,551.08,1663.87,0.0
,boot,5000.0,200.0,1546.84,3014.27,7811.66,4942.11,0.0,0.17,542.3,1604.39,0.0
,boot,5000.0,180.0,1393.42,2649.42,6509.33,4462.82,0.0,0.21,544.82,1439.46,0.0
,boot,5000.0,160.0,1239.99,2284.56,5207.0,3983.53,0.0,0.25,547.34,1274.52,0.0
,boot,5000.0,140.0,1086.57,1919.71,3904.66,3504.23,0.0,0.28,549.86,1109.59,0.0
,boot,5000.0,120.0,933.14,1554.85,2602.33,3024.94,0.0,0.32,552.38,944.65,0.0
,boot,5000.0,100.0,779.72,1190.0,1300.0,2545.65,0.0,0.36,554.9,779.72,0.0
,boot,5000.0,120.0,778.61,1186.0,1296.0,2549.13,0.0,0.39,555.34,778.61,0.0
,boot,5000.0,140.0,777.5,1182.0,1292.0,2552.62,0.0,0.42,555.78,777.5,0.0
,boot,5000.0,160.0,776.39,1178.0,1288.0,2556.1,0.0,0.45,556.22,776.39,0.0
,boot,5000.0,180.0,775.28,1174.0,1284.0,2559.59,0.0,0.48,556.66,775.28,0.0
,boot,5000.0,200.0,774.17,1170.0,1280.0,2563.07,0.0,0.51,557.1,774.17,0.0
,boot,5000.0,260.0,770.39,1164.0,1266.0,2576.14,0.0,0.5,557.16,770.39,0.0
,boot,5000.0,320.0,766.61,1158.0,1252.0,2589.21,0.0,0.48,557.22,766.61,0.0
,boot,5000.0,380.0,762.83,1152.0,1238.0,2602.28,0.0,0.47,557.28,762.83,0.0
,boot,5000.0,440.0,759.05,1146.0,1224.0,2615.35,0.0,0.45,557.34,759.05,0.0
,boot,5000.0,500.0,755.27,1140.0,1210.0,2628.42,0.0,0.44,557.4,755.27,0.0
,boot,5000.0,410.0,753.63,1140.0,1212.0,2633.6,0.0,0.45,556.86,753.63,0.0
,boot,5000.0,320.0,751.99,1140.0,1214.0,2638.78,0.0,0.47,556.32,751.99,0.0
,boot,5000.0,230.0,750.34,1140.0,1216.0,2643.96,0.0,0.48,555.78,750.34,0.0
,boot,5000.0,140.0,748.7,1140.0,1218.0,2649.14,0.0,0.5,555.24,748.7,0.0
,boot,5000.0,50.0,747.06,1140.0,1220.0,2654.32,0.0,0.51,554.7,747.06,0.0
,boot,6000.0,130.0,1735.22,2337.85,3114.73,2169.95,0.0,0.43,561.96,1737.17,0.0
,boot,7000.0,210.0,2723.38,3535.7,5009.46,1685.58,0.0,0.34,569.22,2727.29,0.0
,boot,8000.0,290.0,3711.55,4733.55,6904.18,1201.21,0.0,0.26,576.48,3717.4,0.0
,boot,9000.0,370.0,4699.71,5931.4,8798.91,716.84,0.0,0.17,583.74,4707.52,0.0
,boot,10000.0,450.0,5687.87,7129.25,10693.64,232.47,0.0,0.09,591.0,5697.63,0.0
,boot,10000.0,460.0,5323.36,7312.39,11391.89,232.81,0.0,0.1,584.6,5331.44,0.0
,boot,10000.0,470.0,4958.86,7495.53,12090.14,233.15,0.0,0.1,578.2,4965.25,0.0
,boot,10000.0,480.0,4594.35,7678.66,12788.4,233.48,0.0,0.11,571.8,4599.07,0.0
,boot,10000.0,490.0,4229.85,7861.8,13486.65,233.82,0.0,0.11,565.4,4232.88,0.0
,boot,10000.0,500.0,3865.34,8044.94,14184.9,234.16,0.0,0.12,559.0,3866.69,0.0
,boot,10000.0,470.0,3760.24,8079.93,14226.26,220.97,0.0,0.12,571.6,3761.69,0.0
,boot,10000.0,440.0,3655.14,8114.92,14267.61,207.78,0.0,0.13,584.2,3656.69,0.0
,boot,10000.0,410.0,3550.04,8149.92,14308.97,194.6,0.0,0.13,596.8,3551.7,0.0
,boot,10000.0,380.0,3444.94,8184.91,14350.32,181.41,0.0,0.14,609.4,3446.7,0.0
,boot,10000.0,350.0,3339.84,8219.9,14391.68,168.22,0.0,0.14,622.0,3341.7,0.0
,boot,10000.0,360.0,3289.07,7712.4,13457.2,177.7,0.0,0.12,610.2,3290.25,0.0
,boot,10000.0,370.0,3238.3,7204.9,12522.73,187.19,0.0,0.11,598.4,3238.8,0.0
,boot,10000.0,380.0,3187.52,6697.39,11588.25,196.67,0.0,0.09,586.6,3187.35,0.0
,boot,10000.0,390.0,3136.75,6189.89,10653.78,206.16,0.0,0.08,574.8,3135.9,0.0
